Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors
ByteDance,$225.00,7/04/2017,China,Beijing,Media & Entertainment,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, SoftBank Group"
SpaceX,$200.00,1/12/2012,United States,Hawthorne,Industrials,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
OpenAI,$80.00,22/07/2019,United States,San Francisco,Enterprise Tech,Khosla Ventures
SHEIN,$66.00,3/07/2018,Singapore,,Consumer & Retail,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
Stripe,$70.00,23/01/2014,United States,San Francisco,Financial Services,"Khosla Ventures, LowercaseCapital, capitalG"
Revolut,$45.00,26/04/2018,United Kingdom,London,Financial Services,"Index Ventures, DST Global, Ribbit Capital"
Databricks,$43.00,5/02/2019,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
Canva,$25.40,8/01/2018,Australia,Surry Hills,Enterprise Tech,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
Epic Games,$22.50,26/10/2018,United States,Cary,Media & Entertainment,"Tencent Holdings, KKR, Smash Ventures"
Fanatics,$31.00,6/06/2012,United States,Jacksonville,Consumer & Retail,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
Chime,$25.00,5/03/2019,United States,San Francisco,Financial Services,"Forerunner Ventures, Crosslink Capital, Homebrew"
xAI,$24.00,26/05/2024,United States,Burlingame,Enterprise Tech,"Sequoia Capital, Andreessen Horowitz, VY Capital"
CoreWeave,$19.00,20/04/2023,United States,Roseland,Enterprise Tech,Magnetar Capital
Miro,$17.50,5/01/2022,United States,San Francisco,Enterprise Tech,"Accel, AltaIR Capital, Technology Crossover Ventures"
Xiaohongshu,$17.00,31/03/2016,China,Shanghai,Media & Entertainment,"GGV Capital, ZhenFund, Tencent"
Anthropic,$16.05,3/02/2023,United States,San Francisco,Enterprise Tech,Google
Yuanfudao,$15.50,31/05/2017,China,Beijing,Consumer & Retail,"Tencent Holdings, Warbug Pincus, IDG Capital"
DJI Innovations,$15.00,23/01/2015,China,Shenzhen,Industrials,"Accel Partners, Sequoia Capital"
Discord,$15.00,20/04/2018,United States,San Francisco,Media & Entertainment,"Benchmark, Greylock Partners, Tencent Holdings"
Gopuff,$15.00,8/10/2020,United States,Philadelphia,Consumer & Retail,"Accel, SoftBank Group, Anthos Capital"
Yuanqi Senlin,$15.00,1/03/2020,China,Beijing,Consumer & Retail,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital"
Ripple,$15.00,20/12/2019,United States,San Francisco,Financial Services,"IDG Capital, Venture51, Lightspeed Venture Partners"
Anduril,$14.00,11/09/2019,United States,Irvine,Industrials,"Andreessen Horowitz, Founders Fund, Revolution Ventures"
Plaid,$13.50,11/12/2018,United States,San Francisco,Financial Services,"New Enterprise Associates, Spar Capital, Index Ventures"
Rippling,$13.50,4/08/2020,United States,San Francisco,Enterprise Tech,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers"
OpenSea,$13.30,20/07/2021,United States,New York,Media & Entertainment,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures"
Celonis,$13.00,26/06/2018,Germany,Munich,Enterprise Tech,"Accel, 83North"
Scale,$13.80,5/08/2019,United States,San Francisco,Enterprise Tech,"Accel, Y Combinator, Index Ventures"
Grammarly,$13.00,10/10/2019,United States,San Francisco,Media & Entertainment,"General Catalyst, Institutional Venture Partners, Breyer Capital"
Devoted Health,$12.90,16/10/2018,United States,Waltham,Healthcare & Life Sciences,"Andreessen Horowitz, F-Prime Capital, Venrock"
Faire,$12.59,30/10/2019,United States,San Francisco,Consumer & Retail,"Khosla Ventures, Forerunner Ventures, Sequoia Capital"
Brex,$12.30,5/10/2018,United States,San Francisco,Enterprise Tech,"DST Global, Ribbit Capital, Greenoaks Capital Management"
JUUL Labs,$12.00,20/12/2017,United States,San Francisco,Consumer & Retail,Tiger Global Management
Wiz,$12.00,17/03/2021,Israel,Tel Aviv,Enterprise Tech,"Insight Partners, Sequoia Capital, Index Ventures"
Bitmain Technologies,$12.00,6/07/2018,China,Beijing,Enterprise Tech,"Coatue Management, Sequoia Capital China, IDG Capital"
